,博物馆名称,新闻来源,新闻标题,简介内容,次级新闻网站,新闻发布时间
161,北京军事博物馆,['参考消息'],“少年强则国强”!俄媒:中国青少年对军事博物馆兴趣激增,"都无法阻止人们参观军事博物馆展品的热情。俄罗斯卫星通讯社和广播电台记者也在8月1日这天来到北京军事博物馆,实地了解为何有如此多的青少年在建军节...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6585905291236213251%2F%3Fchannel%3D%26source%3Dsearch_tab,2018年8月5日
162,北京军事博物馆,['吾评武愿'],北京军事博物馆门口放置一辆坦克，但它却来自于当时中国强大敌人,"该车在北京军事博物馆公开展出。以后又拉到包头进行修复,并进行了分析,以及有关的性能对比试验。 苏联在二次世界大战以后到20世纪60年代,坦克发展的...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6499329474453045774%2F%3Fchannel%3D%26source%3Dsearch_tab,2017年12月14日
163,北京军事博物馆,['游遍北京的博物馆'],看过军博，才知道2500年前的《孙子兵法》，对现代军事还有用吗?,"临时起意,今天来参观军博,也就是北京地铁1号线"" 军事博物馆"" 站的展馆。 全名叫做《中国人民革命军事博物馆》。 军博参观是免费的,在网上用身份证预...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6771340449740227080%2F%3Fchannel%3D%26source%3Dsearch_tab,2019年12月17日
164,北京军事博物馆,['中关村在线'],春节简单游 纯爷们都爱去的军事博物馆,"作为一个军迷,小时候最爱去的就要数位于北京复兴路上的军博了(中国人民革命军事博物馆)。工作以后却没有再去过,算下来也有十几年的时间,前段时间正好...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6520750707014894093%2F%3Fchannel%3D%26source%3Dsearch_tab,2018年2月10日
165,北京军事博物馆,['整理猫儿'],北京博物馆游览:中国人民革命军事博物馆,"北京军事博物馆,2019北京科技周海鹰航空通用装备公司展区,海鹰系列小型长航时无人机亮相。5月19日至5月26日,以“科技强国科普惠民”为主题的2019年全...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6708045076108411400%2F%3Fchannel%3D%26source%3Dsearch_tab,2019年6月30日
166,北京军事博物馆,['中国网'],张志和楷书展在军事博物馆开幕《中华颂》巨作亮相,"中国经济网北京4月1日讯(记者 李冬阳) 4月1日上午,“张志和楷书展”在北京市中国军事博物馆举办。展出了启功弟子、中国书法家协会理事张志和先生“积...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa4167030505%2F%3Fchannel%3D%26source%3Dsearch_tab,2015年4月1日
167,北京军事博物馆,['湖城影像'],寒冬假日，北京军事博物馆迎来游客参观高峰期,"2018年2月6日,北京军事博物馆迎来游客参观高峰期。进入寒冬假日,多数游客选择带小孩到军事博物馆参观学习,增长见识,开阔视野。(图片来自东方IC) 201...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6519647509403402760%2F%3Fchannel%3D%26source%3Dsearch_tab,2018年2月7日
168,北京军事博物馆,['x贰拾叁x'],北京地铁1号线站名探源--军事博物馆,"军事博物馆:军事博物馆全称为中国人民革命军事博物馆。位于复兴门外复兴路9号,是以军事历史为主题的博物馆。军事博物馆建于1959年,是北京五十年代十...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6727136451357573646%2F%3Fchannel%3D%26source%3Dsearch_tab,2019年8月20日
169,北京军事博物馆,['北京日报客户端'],未来一周，军博410个展项邀你玩转“黑科技”!,"2019年全国科技活动周暨北京科技周主场在军事博物馆开幕,未来一周,市民可以在这里参观高大上的创新项目,体验有趣的互动科技。 本次北京科技周活动主...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6692696785338499597%2F%3Fchannel%3D%26source%3Dsearch_tab,2019年5月19日
170,北京军事博物馆,['北京文博'],北京文博|“博物馆，有范逛”，带你逛中国人民革命军事博物馆,"军事博物馆文物征管部部长杨海峰,和您一起追寻抗战胜利的记忆。 播出时间:周一7:30--9:00 播出频率:FM107.3、AM1026 资料来源:北京城市广播 编辑:刘...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6596509925885608455%2F%3Fchannel%3D%26source%3Dsearch_tab,2018年9月2日
171,北京军事博物馆,['景中之旅'],“八一”带着孩子一起走进军事博物馆,"军事博物馆位于北京市复兴路9号,交通极为便利,地铁军博站就在展馆门前不远出。 军博户外展-导弹 军博实行免费参观,以实名制预约参观。未预约观众,持...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6720182559499616776%2F%3Fchannel%3D%26source%3Dsearch_tab,2019年8月1日
172,北京军事博物馆,['军事博物馆'],永怀初心--陈钰铭师生作品展在军博展出,中国人民革命军事博物馆 (北京市海淀区复兴路9号) 主办单位 中国人民革命军事博物馆 中国国家画院 中国美术家协会艺术委员会 承办单位 北京澄心阁文...,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6623890475285742093%2F%3Fchannel%3D%26source%3Dsearch_tab,2018年11月15日
173,北京军事博物馆,['文旅青岛'],游军事博物馆,"来北京终于来到了心心念念的军事博物馆, 话说军博还是很值得来的,古今都有,而且门票可以用身份证免费领,真好! 特色推荐: 进了军事博物馆第一眼就是一...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6767495332361142787%2F%3Fchannel%3D%26source%3Dsearch_tab,2019年12月7日
174,北京军事博物馆,['平安巴南'],北京军事博物馆新增5大展陈 数千件军事文物亮相,"从本月开始,中国人民革命军事博物馆一口气儿增加5大开放区域,数千件军事文物亮相,重现上下五千年中国军事史,展现最新军事科技。部分重点文物还增配了...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6699245799433306638%2F%3Fchannel%3D%26source%3Dsearch_tab,2019年6月6日
175,北京军事博物馆,['锐天气说美食'],没钱也要任性的北京之旅(四)一一军博、国博,"中国人民革命军事博物馆,位于北京天安门西面的长安街延长线上,于1960年正式开放。 免费,凭二代身份证领票,并需要进行安检。排队的人虽多,但管理还是...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6192675505994727681%2F%3Fchannel%3D%26source%3Dsearch_tab,2015年9月10日
176,北京军事博物馆,['晏炜观点致胜'],幽闭恐惧症慎入!地下10000米是什么样子?,"9号线的军事博物馆,是北京地铁的最大深度。 60米,3000年前土耳其人在这里修了地下城打地道战。105.5米,世界最深的地铁站,位于乌克兰基辅。213米,最深...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6707529163806343683%2F%3Fchannel%3D%26source%3Dsearch_tab,2019年6月30日
177,北京军事博物馆,['阿季聚焦'],体验军事博物馆,"*摄影* 中国人民革命军事博物馆是中国第一个综合类军事博物馆,位于北京市复兴路9号。展览大楼1958年10月兴建,1959年7月建成,1960年8月1日正式开放,是...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6507401795705242119%2F%3Fchannel%3D%26source%3Dsearch_tab,2018年1月5日
178,北京军事博物馆,['北京新闻广播'],抗美援朝70周年纪念展览亮相军博，今天面向公众开放,"“铭记伟大胜利,捍卫和平正义:纪念中国人民志愿军抗美援朝出国作战70周年主题展览”目前正在中国人民革命军事博物馆展出,展览用七个板块,1900多件展...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6887571622178324999%2F%3Fchannel%3D%26source%3Dsearch_tab,2020年10月25日
179,北京军事博物馆,['北青研学'],走进军事博物馆，铭记历史，筑梦未来,"在接到同学们后,工作人员立即组织队伍,清点人数,确定孩子们一切准备就绪后,有序出站。随后乘车前往北京研学的第一站,中国人民革命军事博物馆。 强军...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6719711885442171405%2F%3Fchannel%3D%26source%3Dsearch_tab,2019年8月1日
180,北京军事博物馆,['安居北京'],新军博即将开馆，10个数据为你揭秘看点!,"从2014年6月4日开工,到2017年2月23日竣工,仅仅用了不到三年时间,中建建设者们就让军事博物馆迎来全新面貌,在保留国家标志性和北京地标式建筑风貌的同...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6446295413532279054%2F%3Fchannel%3D%26source%3Dsearch_tab,2017年7月24日
181,北京军事博物馆,['魅力学校'],北京市古城中学初一年级前往军事博物馆参观,"军事博物馆坐落在西长安街上。它是新中国建国初期,北京著名的十大建筑之一。还不到军事博物馆,远远望去,高大宏伟的军事博物馆楼前耸立着高高的旗杆,...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6769106829965263363%2F%3Fchannel%3D%26source%3Dsearch_tab,2019年12月11日
182,北京军事博物馆,['人物速写本'],北京军事博物馆有一门“意大利炮”，是李云龙那款吗?,"中国人民革命军事博物馆位于北京天安门西面的长安街延长线上,筹建于1959年,是向国庆10周年献礼的首都十大建筑之一。1959年3月12日,经中共中央军事委...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6549513817032753677%2F%3Fchannel%3D%26source%3Dsearch_tab,2018年4月28日
183,北京军事博物馆,['新京报'],北京地铁9号线军事博物馆站西南口9日7时起临时封闭,"新京报快讯 据北京地铁消息,自12月9日7:00时起至另有通知时止,9号线军事博物馆站西南口(H口)采取临时封闭措施,乘客可从其他出入口进出站 编辑 倪艳楠...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6768009400406770179%2F%3Fchannel%3D%26source%3Dsearch_tab,2019年12月8日
184,北京军事博物馆,['新京报'],6日起北京地铁9号线军事博物馆站H口采取临时封闭措施,"新京报快讯 据北京地铁官方微博消息,自5月6日7:00时起至另有通知时止,9号线军事博物馆站西南口(H口)采取临时封闭措施,乘客可从其他出入口进出站。 编...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6687521573659738632%2F%3Fchannel%3D%26source%3Dsearch_tab,2019年5月5日
185,北京军事博物馆,['乐妈考CPA会审'],乐暑期游北京第3天--修葺一新的军事博物馆,"中国人民革命军事博物馆是中国第一个综合类军事博物馆,位于北京市复兴路9号。展览大楼1958年10月兴建,1959年7月建成,1960年8月1日正式开放,是向国庆...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6469731128130404878%2F%3Fchannel%3D%26source%3Dsearch_tab,2017年9月25日
186,北京军事博物馆,['思远防务'],中国哪些军事设施和博物馆可供参观?各地都有分布，推荐军博,"军事博物馆比较多,各地都有。大型且全面的集中在北京,北京的军事博物馆是全国都有名的。军博是国内仅此一处的国家级综合大型军事博物馆。另外人民解...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6597235707746451971%2F%3Fchannel%3D%26source%3Dsearch_tab,2018年9月5日
187,北京军事博物馆,['远牧天山'],中国人民革命军事博物馆，军迷们到北京一定要去看，免费景点哦,"军队人才网同步北京军事博物馆考试动态信息:2020北京军事博物馆招考文职人员21人预公告。更多关于军队文职招聘,2020军队文职,北京军事博物馆,北京军...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6554917386867180039%2F%3Fchannel%3D%26source%3Dsearch_tab,2018年5月13日
188,北京军事博物馆,['赢得自己赢得江湖'],北京中国人民革命军事博物馆,"军事博物馆大院内展示着我国现役部队的一些战车和飞机 新开的军事博物馆有建军90周年主题展 由于游客众多,建议要去的朋友在提前在网上预约门票,这样...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6584222858493297166%2F%3Fchannel%3D%26source%3Dsearch_tab,2018年7月31日
189,北京军事博物馆,['滁州人事考试'],2020北京军事博物馆招考文职人员21人预公告,"代理机构:中国人民革命军事博物馆 代理机构联系人:赵干事、庞干事,010-66866067/66866068 代理机构地址: 北京市海淀区复兴路9号 一、采购项目的名称...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6807787522828009987%2F%3Fchannel%3D%26source%3Dsearch_tab,2020年3月24日
190,北京军事博物馆,['乐活志'],北京--人民革命军事博物馆大院里的武器装备展示国威,"先简单的介绍一下军事博物馆(简称军博),它是中国唯一一个大型的综合性质的军事历史博物馆,也是当初为建国10周年献礼,在北京十大建筑之一。这里可以说...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6451912831410373134%2F%3Fchannel%3D%26source%3Dsearch_tab,2017年8月8日
191,北京军事博物馆,['政府采购信息网'],中国人民革命军事博物馆军事博物馆标识系统设计制作项目公开...,"据北京地铁公司微博消息,自1月17日8:30时起至另有通知时止,9号线军事博物馆站西南口(H口)采取临时封闭措施,乘客可从其他出入口进出站。",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6431785591847944449%2F%3Fchannel%3D%26source%3Dsearch_tab,2017年6月15日
192,北京军事博物馆,['网言军事'],北京军博有辆T-34坦克是战利品?当年缴获曾费尽周折,"在整修一新的中国人民革命军事博物馆(以下简称新军博)地下展厅,居中显要位... 后来,289号坦克被运到北京,作为珍贵历史见证放置在军博展出。上世纪90年代...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6445399728741449998%2F%3Fchannel%3D%26source%3Dsearch_tab,2017年7月22日
193,北京军事博物馆,['界面新闻'],北京地铁9号线军事博物馆站H口30日7时起临时封闭,"据北京地铁官方微博,自5月30日7:00时起至另有通知时止,9号线军事博物馆站西南口(H口)采取临时封闭措施,乘客可从其他出入口进出站。",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6696288547059532302%2F%3Fchannel%3D%26source%3Dsearch_tab,2019年5月29日
194,北京军事博物馆,['环球网'],抗美援朝主题展迎来公众开放首日,"10月25日是志愿军抗美援朝出国作战70周年纪念日,军事博物馆抗美援朝主题展迎来公众开放首日。此次共展出1900余件文物及展品,其中824件文物系首次展出...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6887408290251145735%2F%3Fchannel%3D%26source%3Dsearch_tab,2020年10月25日
195,北京军事博物馆,['焚火'],北京军事博物馆抗战内战中缴获的火炮,人民大会堂 中国历史革命博物馆 革命军事博物馆 全国农业展览馆 北京民族文化馆 北京工人体育场 北京新车站 北京民族饭店 北京华侨大厦 北京广播大...,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6633699008399278600%2F%3Fchannel%3D%26source%3Dsearch_tab,2018年12月11日
196,北京军事博物馆,['历史方阵'],1959年北京十大工程，革命军事博物馆，全国农业展览馆等,"前两年国庆的时候见识过 北京 天安门的人山人海,今年选择去刷 北京 军事博物馆~ 9月30日的晚上住在了离军博不太远的酒店,酒店很一般不做重点推荐,但...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6738954138576503310%2F%3Fchannel%3D%26source%3Dsearch_tab,2019年9月22日
197,北京军事博物馆,['小涵博城一哥'],北京军事博物馆一日游,"中国人民革命军事博物馆是中国惟一的大型综合性军事历史博物馆,基本陈列有... 中央电视塔集广播电视发射和旅游观光、餐饮娱乐为一体,是北京现代化的一个...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6695231942368952839%2F%3Fchannel%3D%26source%3Dsearch_tab,2019年5月26日
198,北京军事博物馆,['王子妈育儿'],国庆刷北京军事博物馆~,"据了解,参观时间每天上午9时至下午17时。团体和个人观众均可通过中国人民革命军事博物馆官方网站http://www.jb.mil.cn/、微信公众号zgjsbwg等平台自...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6620276563256541710%2F%3Fchannel%3D%26source%3Dsearch_tab,2018年11月5日
199,北京军事博物馆,['梦笔三生'],北京旅游文化:军事博物馆，中央电视塔，元大都城垣遗址公园,"出现在了北京军事博物馆内,让我们有机会可以近距离一睹它的风采。 DF-31的发射车采用的是牵引车+半挂车的结构,其中牵引车是一辆8x8四桥全轮驱动的汉...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6628937265563304452%2F%3Fchannel%3D%26source%3Dsearch_tab,2018年11月30日
200,北京军事博物馆,['翠脆生生'],北京军事博物馆一游,"北京军事博物馆一游 门口的雕塑,壮观威武! 非军事迷的拍摄 关于抗震救灾的 枪,好像是模型 冲锋枪!不太懂!",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6287782996716667138%2F%3Fchannel%3D%26source%3Dsearch_tab,2016年5月23日
201,北京军事博物馆,['手机看北京'],军事博物馆坦克馆，老物件铭记历史,"正值晚高峰,下午5点32分,地铁九号线军事博物馆站直梯发生故障,多名乘客被... 来源:北京晚报 记者:景一鸣、陈圣禹 监制:周家望、马楠 编辑:王海萍 流程...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6600190418950816259%2F%3Fchannel%3D%26source%3Dsearch_tab,2018年9月12日
202,北京军事博物馆,['北京日报客户端'],地铁9号线军事博物馆站直梯突发故障，5分钟内紧急处理,"近日, 北青社区报(ID:tongzhoushequbao) 记者从中国人民革命军事博物馆了... 中国民兵武器装备陈列馆为国家AAA级旅游景区,位于北京市通州区京杭大运河...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6725707911944749580%2F%3Fchannel%3D%26source%3Dsearch_tab,2019年8月16日
203,北京军事博物馆,['北青社区报通州版'],爽呆!军博在通州建分馆，导弹、大炮等69件大型武器将亮相,"上游一号反舰导弹(汉语拼音字母缩写为SY-1),北约命名为CSS-N-1 绰号Scrubbrush (硬毛刷),是中华人民共和国1960年代仿制苏联的П-15“Термит”(...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6631848386167341571%2F%3Fchannel%3D%26source%3Dsearch_tab,2018年12月6日
204,北京军事博物馆,['白鲸talk'],北京最值得去的免费博物馆之一--中国人民革命军事博物馆(2),"地址:北京市东城区东长安街16号 中国人民革命军事博物馆 中国人民革命军事博物馆筹建于1959年,是中国第一个综合类军事博物馆,也是向国庆10周年献礼的...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6659228574261707267%2F%3Fchannel%3D%26source%3Dsearch_tab,2019年2月18日
205,北京军事博物馆,['京城微视线'],何必去热门景点凑热闹，北京免费又有趣的博物馆不妨去走一遭吧!,"赣州育欣夏令营·北京游学第三站--中国人民革命军事博物馆, 中国人民革命军事博物馆位于北京天安门西面的长安街延长线上,筹建于1959年,是向国庆10周...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6548211143792394756%2F%3Fchannel%3D%26source%3Dsearch_tab,2018年4月25日
206,北京军事博物馆,['黄杨军摄影'],赣州育欣夏令营·北京游学--中国人民革命军事博物馆,"这个空军展厅有气势(图片来自东方IC) 地对空导弹(图片来自东方IC) DF-1和DF-2弹道导弹,展厅也长高了 (图片来自东方IC) 有了航母编队(图片来自东方IC) ...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6585681841548689924%2F%3Fchannel%3D%26source%3Dsearch_tab,2018年8月4日
207,故宫博物院,['澎湃新闻'],国际博物馆日|方寸之间，故宫文物邮票与原件同时呈现,"1998年,故宫太和殿与法国卢浮宫一起登上中国和法国联合发行的特种邮票,开启了故宫博物院在国际舞台上展示传播中国文化的新篇章。2003年,故宫邮局在紫...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6963413449355297311%2F%3Fchannel%3D%26source%3Dsearch_tab,2021年05月18日
208,故宫博物院,['新京报'],故宫正在特展的《女史箴图》，原来还藏着这样的秘密,"故宫博物院另藏有宋代摹本,纸本墨色,水平稍逊,而多出樊姬、卫女2段。 《女史箴》是西晋张华写的一篇讽谏贾后的辞赋。贾后名南风,是为司马氏建立晋朝...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6962787005407330824%2F%3Fchannel%3D%26source%3Dsearch_tab,2021年05月16日
209,故宫博物院,['新华网客户端'],国宝即将“出宫”--访香港故宫文化博物馆,"这一想法在港方提出之前,首先由故宫博物院创意提出。 第二年,香港赛马会捐赠35亿港元,以资助香港故宫的设计、建造及筹备展览等费用;同时,寸土寸金的...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6963085799512343076%2F%3Fchannel%3D%26source%3Dsearch_tab,2021年05月18日
210,故宫博物院,['央视新闻'],邮票首次与文物同框 故宫主题邮票特展在故宫博物院斋宫展出,"北京邮来邮网络科技有限公司承办的“国家名片 紫禁瑰宝--故宫主题邮票特展”将于5月18日起在故宫博物院斋宫展厅对公众开放,通过将新中国发行的故宫主...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6963149387031806478%2F%3Fchannel%3D%26source%3Dsearch_tab,2021年05月18日
211,故宫博物院,['新京报'],故宫亮家底儿!约起去看画儿!请查收这份专业的观画指南,"这件《步辇图》卷,虽然是经过著名的鉴定大家、故宫博物院徐邦达先生的研究,这张图是北宋宫廷画家的摹本,也就是手工复制本,它完整地保留了初唐时期人...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6962725481921806878%2F%3Fchannel%3D%26source%3Dsearch_tab,2021年05月16日
212,故宫博物院,['虎头鸟'],故宫博物院藏品-痕都斯坦玉器,"痕都斯坦玉器其实就是回教玉器或伊斯兰玉器。痕都斯坦玉器在清朝的宫廷中是非常名贵而特别的一种,精美绝伦。痕都斯坦本为清代对北印度的称谓,而痕都斯...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6963289245301604902%2F%3Fchannel%3D%26source%3Dsearch_tab,2021年05月18日
213,故宫博物院,['哈喽海潮'],带你游览世界五大宫之首的北京故宫,"今天是北京之行第一天,迫不及待的来到号称世界五大宫之首的故宫,故宫旧城紫禁城,始建于明永乐四年(1406年)永乐十八年基本建成。历经明、清两代,二十...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6962695845967888907%2F%3Fchannel%3D%26source%3Dsearch_tab,2021年05月16日
214,故宫博物院,['西安峰'],故宫博物院.藏「明代玉盒」欣赏,青玉螭龙盒 青玉松竹梅盒 青玉葵花盒 青玉荔枝纹盒 青玉荔枝式盒 青玉银锭式盒 青玉山水楼阁盒 青玉山水人物盒 青玉蟠螭纹盒 青玉明月松竹盒 青玉琴式...,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6963180333441237516%2F%3Fchannel%3D%26source%3Dsearch_tab,2021年05月18日
215,故宫博物院,['翰艺轩玉石'],故宫博物院十大镇馆之宝,故宫博物院 珐琅之宝 掐丝珐琅缠枝莲纹象耳炉 掐丝珐琅缠枝莲纹象耳炉为故宫珐琅的代表作品。 钟表之宝 彩漆描金楼阁式自开门群仙祝寿御制钟 彩漆描...,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6963157957546754601%2F%3Fchannel%3D%26source%3Dsearch_tab,2021年05月18日
216,故宫博物院,['游系人生'],探访北京故宫的慈宁宫大佛堂，聊今追古，详析故宫珍宝京洛聚散缘,"在文华殿体验了“千古风流人物--故宫博物院藏苏轼主题书画特展”的摩肩接踵后,我径直前往慈宁宫,边走边啃着干粮。 ▲ 慈宁门及麒麟铜雕 从保和殿北侧...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6963092694793110052%2F%3Fchannel%3D%26source%3Dsearch_tab,2021年05月18日
217,故宫博物院,['台海网'],故宫鼓浪屿外国文物馆开展线上线下系列活动,"今天上午10时许,故宫鼓浪屿外国文物馆的两位金牌讲解员将围绕今年国际博物馆日主题“博物馆的未来:恢复与重塑”,在新浪微博等直播平台,带领网友以不...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6963417292801737246%2F%3Fchannel%3D%26source%3Dsearch_tab,2021年05月18日
218,故宫博物院,['全国党媒信息公共平台'],发现元代温州城市图像 故宫博物院余辉将讲述元代温州社会细节,"七百多年前的温州城面貌是怎样的?生活其中的都有哪些人、他们在做什么?当时江心屿为何仅见一座塔?5月16日下午两点,来自故宫博物院的余辉先生,将在温...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6962495145187279373%2F%3Fchannel%3D%26source%3Dsearch_tab,2021年05月15日
219,故宫博物院,['每日饮酒'],旅游必去景点之故宫博物院,"故宫是世界 上现存规模最大的古代皇家宫殿建筑群, 旧称紫禁城, 据说天上有紫薇星恒,是天帝的居所 ,皇帝以天帝之子自居, 因此称自己的宫殿为紫薇宫,而...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6962077676760842783%2F%3Fchannel%3D%26source%3Dsearch_tab,2021年05月14日
220,故宫博物院,['山河文玩博物馆'],故宫博物院,"故宫博物院(故宫博物院)成立于1925年,位于北京故宫的故宫。它是中国最大的古代文化和艺术博物馆。文物主要来自清宫收藏。藏品超过186万件。 ,古代建...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6960090073501090315%2F%3Fchannel%3D%26source%3Dsearch_tab,2021年05月12日
221,故宫博物院,['读者报'],故宫博物院的秘辛往事,"2020年9月10日,“丹宸永固-紫禁城建成六百年”展在故宫博物院拉开帷幕。此次展览可谓盛况空前,恰逢紫禁城建成600年,又逢故宫博物院成立95周年,展览集...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6960943405375472165%2F%3Fchannel%3D%26source%3Dsearch_tab,2021年05月11日
222,故宫博物院,['故宫铁粉说'],北京故宫角楼的由来您听过吗?来了解下这个神奇的传说吧,"故宫城墙上的四个角楼, 是紫禁城里最精美的建筑之一。 角楼造型别致、巧夺天工、精美绝伦, 不得不让人无限感叹! 该是什么样的旷世奇才, 才能设计出如...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6963271424408699395%2F%3Fchannel%3D%26source%3Dsearch_tab,2021年05月18日
223,故宫博物院,['光明网'],国宝即将“出宫”--访香港故宫文化博物馆,香港故宫文化博物馆馆长吴志华在接受新华社记者专访(4月23日摄)。新华社记者 吴晓初 摄 香港故宫文化博物馆模型(4月23日摄)。新华社记者 吴晓初 摄 ...,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6962857476672881188%2F%3Fchannel%3D%26source%3Dsearch_tab,2021年05月16日
224,故宫博物院,['人民日报'],故宫提醒:须凭本人有效身份证件预约入院,"故宫博物院30日发布《故宫博物院关于“五一”假期期间参观的温馨提示》,提示指出:“故宫博物院网络售票网站”和微信公众号“故宫博物院观众服务”为...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6956884472272781838%2F%3Fchannel%3D%26source%3Dsearch_tab,2021年4月30日
225,故宫博物院,['北京日报客户端'],故宫文华殿明天重新开放，半数文物为首次公开展出,"5月1日,故宫博物院文华殿将重新开放,《庙堂仪范--故宫博物院历代人物画像特展》首期揭面纱,68件书画作品,尽数历代风流人物。其中半数文物为首次公开...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6956801452102697483%2F%3Fchannel%3D%26source%3Dsearch_tab,2021年4月30日
